numbers,tripduration,starttime,stoptime,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,usertype,birth year,gender
153,375,2019-01-06 20:24:58.2910,2019-01-06 20:31:13.9040,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1987,2
154,367,2019-01-06 20:25:11.3730,2019-01-06 20:31:18.5820,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1989,1
155,77,2019-01-07 08:26:08.2480,2019-01-07 08:27:25.4000,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1975,1
156,928,2019-01-07 10:11:42.8820,2019-01-07 10:27:11.8600,Exchange Place,40.7162469,-74.0334588,Montgomery St,40.71942,-74.05099,Subscriber,1965,1
157,68,2019-01-07 12:35:47.8890,2019-01-07 12:36:56.7540,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1987,1
158,476,2019-01-07 12:41:00.7070,2019-01-07 12:48:57.5920,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1984,1
159,212,2019-01-07 14:21:11.5240,2019-01-07 14:24:44.2290,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1981,0
160,617,2019-01-07 15:34:51.1020,2019-01-07 15:45:08.5650,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1968,1
161,580,2019-01-07 16:05:44.7510,2019-01-07 16:15:25.4420,Exchange Place,40.7162469,-74.0334588,Jersey & 6th St,40.72528910781132,-74.04557168483734,Subscriber,1987,2
162,628,2019-01-07 16:25:21.7190,2019-01-07 16:35:50.6760,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1979,1
163,661,2019-01-07 16:57:54.9340,2019-01-07 17:08:56.8940,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1985,1
164,282,2019-01-07 17:14:55.8770,2019-01-07 17:19:38.1290,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1976,2
165,162,2019-01-07 17:30:55.3240,2019-01-07 17:33:37.6780,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1960,1
166,261,2019-01-07 17:33:11.8790,2019-01-07 17:37:32.9630,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1970,1
167,768,2019-01-07 17:33:24.1410,2019-01-07 17:46:12.9980,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1969,0
168,608,2019-01-07 17:33:22.5810,2019-01-07 17:43:30.6890,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1980,1
169,2569,2019-01-07 17:39:19.3740,2019-01-07 18:22:08.7870,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1993,1
170,377,2019-01-07 17:41:33.9290,2019-01-07 17:47:51.4800,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1982,1
171,268,2019-01-07 17:44:22.8190,2019-01-07 17:48:51.1190,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1965,2
172,121,2019-01-07 17:47:54.4180,2019-01-07 17:49:55.6560,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1969,0
173,115,2019-01-07 17:51:23.7380,2019-01-07 17:53:19.6880,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1990,1
174,130,2019-01-07 17:51:33.7470,2019-01-07 17:53:44.2480,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,0
175,326,2019-01-07 17:52:04.2600,2019-01-07 17:57:31.1680,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
176,218,2019-01-07 17:52:55.4100,2019-01-07 17:56:34.3810,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1994,2
177,273,2019-01-07 18:03:28.1200,2019-01-07 18:08:01.9780,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1955,1
178,173,2019-01-07 18:03:51.6540,2019-01-07 18:06:45.2600,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1970,1
179,246,2019-01-07 18:08:05.5600,2019-01-07 18:12:12.3860,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
180,307,2019-01-07 18:17:37.4300,2019-01-07 18:22:45.2800,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
181,321,2019-01-07 18:27:47.6990,2019-01-07 18:33:09.4200,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1977,1
182,232,2019-01-07 18:38:16.8520,2019-01-07 18:42:09.3150,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Customer,1969,0
183,226,2019-01-07 18:39:48.7110,2019-01-07 18:43:35.2420,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1974,1
184,152,2019-01-07 19:19:20.9670,2019-01-07 19:21:53.8840,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1972,1
185,268,2019-01-07 19:28:27.5650,2019-01-07 19:32:55.6850,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1977,1
186,232,2019-01-07 19:34:37.7040,2019-01-07 19:38:29.9500,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1987,1
187,277,2019-01-07 19:36:51.0260,2019-01-07 19:41:28.6580,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
188,295,2019-01-07 19:38:15.4300,2019-01-07 19:43:11.3000,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1983,1
189,245,2019-01-07 19:39:02.1040,2019-01-07 19:43:07.1270,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1958,1
190,369,2019-01-07 19:55:55.0400,2019-01-07 20:02:04.6960,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1994,2
191,241,2019-01-07 20:21:10.8330,2019-01-07 20:25:12.7990,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1972,1
192,216,2019-01-07 20:22:18.7990,2019-01-07 20:25:55.2920,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1983,1
193,224,2019-01-07 20:22:26.2880,2019-01-07 20:26:11.1020,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1971,1
194,211,2019-01-07 20:53:17.6410,2019-01-07 20:56:48.9230,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
195,150,2019-01-07 21:28:51.5700,2019-01-07 21:31:21.8030,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1954,2
196,673,2019-01-07 22:38:09.9810,2019-01-07 22:49:23.0460,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
197,108,2019-01-08 07:30:48.2650,2019-01-08 07:32:36.5140,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1966,1
198,87,2019-01-08 08:30:34.1810,2019-01-08 08:32:02.0970,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1975,1
199,137,2019-01-08 08:54:04.8850,2019-01-08 08:56:22.2290,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,1
200,251,2019-01-08 14:22:26.2640,2019-01-08 14:26:37.8400,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1979,1
201,217,2019-01-08 15:08:06.8080,2019-01-08 15:11:44.6830,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1968,1
202,346,2019-01-08 15:53:45.1490,2019-01-08 15:59:31.6270,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1958,1
203,170,2019-01-08 16:40:01.7210,2019-01-08 16:42:52.3100,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1987,1
204,317,2019-01-08 16:49:53.1190,2019-01-08 16:55:10.9350,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1987,2
205,238,2019-01-08 17:02:34.4210,2019-01-08 17:06:32.5100,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1989,1
206,178,2019-01-08 17:05:37.8030,2019-01-08 17:08:36.2880,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1974,1
207,293,2019-01-08 17:12:54.9080,2019-01-08 17:17:47.9790,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1983,1
208,140,2019-01-08 17:14:15.0180,2019-01-08 17:16:35.8340,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1985,1
209,255,2019-01-08 17:23:17.6280,2019-01-08 17:27:33.0670,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1958,1
210,328,2019-01-08 17:24:55.6760,2019-01-08 17:30:24.1160,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1984,1
211,126,2019-01-08 17:31:43.6990,2019-01-08 17:33:50.1290,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,0
212,332,2019-01-08 17:39:14.6880,2019-01-08 17:44:46.9730,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1994,1
213,1009,2019-01-08 17:41:31.6200,2019-01-08 17:58:21.3670,Exchange Place,40.7162469,-74.0334588,Lincoln Park,40.7246050998869,-74.07840594649316,Subscriber,1973,1
214,162,2019-01-08 17:43:25.9000,2019-01-08 17:46:08.1460,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1960,1
215,367,2019-01-08 17:50:06.1170,2019-01-08 17:56:13.4750,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1990,1
216,180,2019-01-08 17:52:40.3670,2019-01-08 17:55:41.2410,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1990,1
217,787,2019-01-08 17:55:57.6990,2019-01-08 18:09:05.5280,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.03375890000001,Subscriber,1996,2
218,245,2019-01-08 17:57:30.9090,2019-01-08 18:01:36.0280,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1982,1
219,250,2019-01-08 17:57:41.9170,2019-01-08 18:01:51.9670,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
220,378,2019-01-08 18:03:12.1870,2019-01-08 18:09:30.4250,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1984,1
221,631,2019-01-08 18:08:53.5640,2019-01-08 18:19:25.5390,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1980,1
222,360,2019-01-08 18:17:32.6090,2019-01-08 18:23:32.6700,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1970,1
223,746,2019-01-08 18:21:07.4440,2019-01-08 18:33:33.4950,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
224,284,2019-01-08 18:55:30.2550,2019-01-08 19:00:15.0110,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
225,206,2019-01-08 19:37:44.7070,2019-01-08 19:41:11.1560,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1955,1
226,256,2019-01-08 19:50:18.6650,2019-01-08 19:54:35.3720,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,Subscriber,1968,2
227,208,2019-01-08 20:28:01.8540,2019-01-08 20:31:30.2320,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1987,1
228,476,2019-01-08 20:33:36.5890,2019-01-08 20:41:33.0090,Exchange Place,40.7162469,-74.0334588,Brunswick & 6th,40.726011729646245,-74.0503889322281,Subscriber,1986,1
229,577,2019-01-08 20:46:30.6400,2019-01-08 20:56:08.4190,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1985,1
230,256,2019-01-08 20:58:35.6410,2019-01-08 21:02:52.1450,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1977,1
231,90,2019-01-08 21:21:06.3420,2019-01-08 21:22:37.1110,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1974,2
232,348,2019-01-08 21:43:54.2860,2019-01-08 21:49:43.1640,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1991,2
233,347,2019-01-08 21:43:55.7000,2019-01-08 21:49:43.2350,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1991,1
234,670,2019-01-08 21:46:03.1500,2019-01-08 21:57:14.0700,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1989,1
235,546,2019-01-08 22:23:37.8100,2019-01-08 22:32:44.0760,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595965999996,-74.044247311,Subscriber,1980,1
236,236,2019-01-08 23:02:10.8380,2019-01-08 23:06:06.8850,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,Subscriber,1986,1
237,81,2019-01-09 08:36:20.8700,2019-01-09 08:37:42.3010,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1975,1
238,367,2019-01-09 08:56:50.7330,2019-01-09 09:02:58.0830,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1981,1
239,122,2019-01-09 09:06:23.7810,2019-01-09 09:08:26.1270,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1971,2
240,283,2019-01-09 11:55:46.0380,2019-01-09 12:00:29.2580,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1965,1
241,189,2019-01-09 12:34:15.4700,2019-01-09 12:37:24.9040,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.71835519823214,-74.03891444206238,Subscriber,1978,1
242,270,2019-01-09 12:59:37.1170,2019-01-09 13:04:07.2480,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1984,1
243,377,2019-01-09 15:01:07.7300,2019-01-09 15:07:25.0260,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1987,1
244,72,2019-01-09 15:51:27.7510,2019-01-09 15:52:40.3600,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1958,1
245,299,2019-01-09 15:53:15.6060,2019-01-09 15:58:15.5440,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1958,1
246,263,2019-01-09 16:32:43.6760,2019-01-09 16:37:07.5320,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1968,1
247,322,2019-01-09 16:42:51.6320,2019-01-09 16:48:14.4640,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1976,2
248,235,2019-01-09 16:57:19.8950,2019-01-09 17:01:15.2010,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1974,1
249,227,2019-01-09 17:00:37.6970,2019-01-09 17:04:24.7770,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.71835519823214,-74.03891444206238,Subscriber,1980,1
250,316,2019-01-09 17:18:37.7750,2019-01-09 17:23:54.6720,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1958,1
251,260,2019-01-09 17:20:38.8550,2019-01-09 17:24:59.8500,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1980,1
252,2069,2019-01-09 17:26:06.2850,2019-01-09 18:00:36.0910,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1993,1
253,299,2019-01-09 17:28:16.3270,2019-01-09 17:33:15.6740,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
254,108,2019-01-09 17:35:38.9200,2019-01-09 17:37:27.6420,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1960,1
255,756,2019-01-09 17:38:17.9540,2019-01-09 17:50:54.8210,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1969,0
256,234,2019-01-09 17:40:53.5920,2019-01-09 17:44:48.1200,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
257,254,2019-01-09 17:42:32.1580,2019-01-09 17:46:46.8390,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1980,1
258,362,2019-01-09 17:45:49.1810,2019-01-09 17:51:51.4850,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1994,1
259,230,2019-01-09 18:03:21.4650,2019-01-09 18:07:12.2320,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1955,1
260,469,2019-01-09 18:04:22.8450,2019-01-09 18:12:11.8610,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1990,1
261,255,2019-01-09 18:05:16.1340,2019-01-09 18:09:31.4710,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1984,1
262,374,2019-01-09 18:10:42.1510,2019-01-09 18:16:56.3330,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1994,2
263,938,2019-01-09 18:11:19.6420,2019-01-09 18:26:57.7140,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
264,289,2019-01-09 18:15:33.0880,2019-01-09 18:20:23.0030,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
265,322,2019-01-09 18:22:58.9680,2019-01-09 18:28:21.6560,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
266,707,2019-01-09 18:32:58.9360,2019-01-09 18:44:46.5150,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
267,624,2019-01-09 18:40:29.5750,2019-01-09 18:50:54.1570,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1993,1
268,298,2019-01-09 18:50:42.5590,2019-01-09 18:55:41.2690,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1981,1
269,214,2019-01-09 18:59:19.4380,2019-01-09 19:02:54.3170,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1988,2
270,213,2019-01-09 19:04:35.4170,2019-01-09 19:08:08.7620,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1972,1
271,274,2019-01-09 19:15:19.6530,2019-01-09 19:19:54.4800,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
272,214,2019-01-09 19:15:20.3490,2019-01-09 19:18:54.5290,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1982,1
273,239,2019-01-09 19:19:04.1230,2019-01-09 19:23:03.5890,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1987,1
274,270,2019-01-09 19:19:02.7870,2019-01-09 19:23:32.9150,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1982,2
275,631,2019-01-09 19:31:28.7610,2019-01-09 19:42:00.6140,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1980,1
276,287,2019-01-09 19:36:53.6440,2019-01-09 19:41:40.8890,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1983,1
277,256,2019-01-09 19:37:51.8900,2019-01-09 19:42:08.5350,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1977,1
278,451,2019-01-09 19:38:23.4250,2019-01-09 19:45:55.0140,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1996,2
279,623,2019-01-09 20:03:21.0950,2019-01-09 20:13:44.9620,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1985,1
280,480,2019-01-09 20:09:53.0810,2019-01-09 20:17:53.3220,Exchange Place,40.7162469,-74.0334588,Dixon Mills,40.72163014263835,-74.04996782541275,Subscriber,1973,1
281,95,2019-01-09 20:33:33.7730,2019-01-09 20:35:09.4240,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1989,1
282,709,2019-01-09 21:48:19.8570,2019-01-09 22:00:09.5490,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1992,2
283,185,2019-01-09 22:23:15.8100,2019-01-09 22:26:21.2900,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1954,2
284,81,2019-01-10 08:38:44.3550,2019-01-10 08:40:05.4090,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1975,1
285,134,2019-01-10 10:00:01.9180,2019-01-10 10:02:16.5470,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1971,2
286,86,2019-01-10 12:17:50.0500,2019-01-10 12:19:16.5200,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1987,1
287,567,2019-01-10 12:35:19.5660,2019-01-10 12:44:47.0700,Exchange Place,40.7162469,-74.0334588,Newark Ave,40.72152515,-74.046304543,Subscriber,1988,1
288,295,2019-01-10 12:45:18.4780,2019-01-10 12:50:13.6490,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1987,2
289,198,2019-01-10 14:08:20.6270,2019-01-10 14:11:39.4960,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1987,1
290,217,2019-01-10 15:08:56.6500,2019-01-10 15:12:33.6700,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1982,1
291,287,2019-01-10 15:33:03.0780,2019-01-10 15:37:50.5070,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1960,1
292,241,2019-01-10 15:48:25.7200,2019-01-10 15:52:26.7760,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1958,1
293,143,2019-01-10 16:16:50.1930,2019-01-10 16:19:14.1910,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1994,1
294,297,2019-01-10 16:20:14.4940,2019-01-10 16:25:12.3700,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.71835519823214,-74.03891444206238,Subscriber,1972,1
295,299,2019-01-10 16:57:45.9530,2019-01-10 17:02:45.0710,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1984,2
296,246,2019-01-10 17:06:06.2880,2019-01-10 17:10:12.5890,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1974,1
297,1798,2019-01-10 17:23:39.5760,2019-01-10 17:53:38.0390,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1993,1
298,467,2019-01-10 18:02:59.8870,2019-01-10 18:10:47.1440,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1990,1
299,801,2019-01-10 18:05:28.2540,2019-01-10 18:18:49.9070,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.72568548362901,-74.0487903356552,Subscriber,1980,1
300,333,2019-01-10 18:29:10.2450,2019-01-10 18:34:44.0420,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
301,191,2019-01-10 18:38:51.3400,2019-01-10 18:42:02.4910,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1969,1
302,230,2019-01-10 18:46:02.3450,2019-01-10 18:49:52.5310,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1972,1
303,245,2019-01-10 18:49:12.4690,2019-01-10 18:53:18.3040,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1990,1
304,139,2019-01-10 18:49:25.1210,2019-01-10 18:51:44.5470,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1969,0
305,251,2019-01-10 19:05:09.3010,2019-01-10 19:09:20.5390,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1980,1
306,218,2019-01-10 19:24:54.3750,2019-01-10 19:28:32.6540,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1982,1
