numbers,tripduration,starttime,stoptime,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,usertype,birth year,gender
35,208,2019-01-02 16:44:06.1120,2019-01-02 16:47:34.3600,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1994,2
36,274,2019-01-02 16:48:19.0440,2019-01-02 16:52:53.5910,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1968,1
37,1187,2019-01-02 16:59:39.3560,2019-01-02 17:19:26.6240,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Customer,1969,0
38,1113,2019-01-02 17:00:47.9260,2019-01-02 17:19:21.1880,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Customer,1969,0
39,102,2019-01-02 17:00:57.6110,2019-01-02 17:02:39.9950,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1960,1
40,956,2019-01-02 17:03:31.6230,2019-01-02 17:19:28.2540,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Customer,1969,0
41,283,2019-01-02 17:09:55.6270,2019-01-02 17:14:39.0180,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1976,2
42,342,2019-01-02 17:18:17.9480,2019-01-02 17:24:00.8590,Exchange Place,40.7162469,-74.0334588,Manila & 1st,40.72165072487999,-74.04288411140442,Subscriber,1980,1
43,590,2019-01-02 17:19:03.7320,2019-01-02 17:28:53.9530,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1980,1
44,411,2019-01-02 17:24:18.8200,2019-01-02 17:31:10.8190,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1969,0
45,1059,2019-01-02 17:25:55.6190,2019-01-02 17:43:34.7470,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Customer,1969,0
46,1053,2019-01-02 17:26:09.3160,2019-01-02 17:43:42.5920,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Customer,1969,0
47,313,2019-01-02 17:46:30.7500,2019-01-02 17:51:44.2380,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1965,2
48,295,2019-01-02 17:52:57.4720,2019-01-02 17:57:52.9640,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1985,1
49,737,2019-01-02 18:02:34.9920,2019-01-02 18:14:52.6930,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1990,1
50,421,2019-01-02 18:03:07.1800,2019-01-02 18:10:08.3910,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1996,2
51,247,2019-01-02 18:03:44.8770,2019-01-02 18:07:52.6530,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,Subscriber,1968,2
52,655,2019-01-02 18:17:40.9550,2019-01-02 18:28:36.9140,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1979,1
53,146,2019-01-02 18:20:14.6980,2019-01-02 18:22:41.4630,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1972,1
54,99,2019-01-02 18:24:15.2630,2019-01-02 18:25:55.2030,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1969,0
55,839,2019-01-02 18:25:40.4190,2019-01-02 18:39:39.8400,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.728744799999994,-74.03210820000001,Subscriber,1986,1
56,264,2019-01-02 18:28:59.4290,2019-01-02 18:33:24.1160,Exchange Place,40.7162469,-74.0334588,Grand St,40.71517767732029,-74.03768330812454,Subscriber,1982,1
57,258,2019-01-02 19:25:17.0350,2019-01-02 19:29:35.7030,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,Subscriber,1977,1
58,438,2019-01-02 19:36:08.9950,2019-01-02 19:43:27.7210,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1991,2
59,339,2019-01-02 19:38:21.6010,2019-01-02 19:44:01.4070,Exchange Place,40.7162469,-74.0334588,City Hall,40.717732500000004,-74.04384499999999,Subscriber,1983,1
60,181,2019-01-02 19:57:38.8370,2019-01-02 20:00:40.0730,Exchange Place,40.7162469,-74.0334588,Warren St,40.721123600000006,-74.03805095,Subscriber,1987,1
61,91,2019-01-02 19:59:45.0920,2019-01-02 20:01:16.4460,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1989,1
62,135,2019-01-02 20:19:23.0540,2019-01-02 20:21:38.9810,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1987,1
63,1039,2019-01-02 20:43:27.2010,2019-01-02 21:00:46.9580,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.71458403535893,-74.04281705617905,Subscriber,1962,1
64,271,2019-01-02 20:48:27.9320,2019-01-02 20:52:59.4180,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1981,2
65,698,2019-01-02 21:19:36.0050,2019-01-02 21:31:14.1610,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.711242299999995,-74.0557013,Subscriber,1992,2
66,174,2019-01-02 23:07:46.5970,2019-01-02 23:10:41.1670,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.712774200000005,-74.03648570000001,Subscriber,1954,2
67,1247,2019-01-03 06:42:45.1880,2019-01-03 07:03:32.9750,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,Subscriber,1974,1
68,72,2019-01-03 08:27:29.5060,2019-01-03 08:28:41.7210,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1975,1
69,103,2019-01-03 09:02:01.1440,2019-01-03 09:03:44.2730,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,Subscriber,1981,1
70,99,2019-01-03 09:03:14.0790,2019-01-03 09:04:53.3530,Exchange Place,40.7162469,-74.0334588,Harborside,40.71925170000001,-74.034234,Subscriber,1963,1
71,419,2019-01-03 14:11:28.2220,2019-01-03 14:18:28.0080,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595965999996,-74.044247311,Subscriber,1966,1
72,263,2019-01-03 14:14:28.0860,2019-01-03 14:18:51.2100,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1987,1
73,270,2019-01-03 14:21:44.3090,2019-01-03 14:26:14.8870,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.03852552175522,Subscriber,1970,1
74,295,2019-01-03 15:51:17.4610,2019-01-03 15:56:13.2740,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.71958611647166,-74.0431174635887,Subscriber,1958,1
